x,y,z,label
-21.557705,-1.6555758,-1.6608623,Conseil - consulting ( Réseau et télécom )
-5.8655176,-8.333462,10.436769,Règlementation sanitaire - règles d'hygiène ( Règlementation sanitaire - règles d'hygiène )
9.668925,-4.6192837,-9.503753,Préparation et application sur surfaces à peindre ou à traiter ( BTP - construction - aménagement )
3.5433958,-26.991962,0.3119527,Conduite d'engins de chantier et de manutention ( Engins de chantier et de manutention )
-16.62109,7.194663,2.8242059,Relations sociales ( Ressources Humaines )
-21.085772,12.249687,8.193639,Médecine généraliste et spécialisée ( Santé - médecine - pharmacie )
3.652069,-2.905357,12.820153,Pétrochimie
4.082176,7.4252567,-14.403911,"Communication, Média et Multimédia - Edition et communication"
-11.4635105,6.2656116,7.7176986,Services à la personne et à la collectivité - Conception et mise en oeuvre des politiques publiques
2.7133963,-26.26197,-0.27977246,Préparation - réglages d'engins de chantier et de manutention ( Engins de chantier et de manutention )
-16.61116,-0.44854546,-7.1237617,Notariat ( Droit - juridique - notariat )
-6.7655196,-14.777488,-12.888635,Canalisations - assainissement ( BTP - construction - aménagement )
-1.7580304,-1.8099266,-16.152798,Information et communication
-9.346336,11.905432,-7.8303766,Thermalisme
-6.279139,18.793673,-10.129309,Restauration
-11.761704,-4.524811,5.3302317,Gestion des commandes ( Logistique )
25.1247,9.942928,-7.9278436,Chant ( Spectacle et audiovisuel )
0.2811908,18.344269,9.562596,Horticulture - maraîchage
-1.9726381,-5.3175473,-15.366545,Systèmes d'exploitation et d'information ( Informatique - numérique )
-8.481119,1.5306356,13.575798,"Services à la personne et à la collectivité - Défense, sécurité publique et secours"
-1.8218968,-7.587072,-4.033072,Marchés financiers ( Banque - assurance - finance - fiscalité )
-18.731852,-2.0788012,-5.5456395,"Règlementations, codes et procédures juridiques ( Droit - juridique - notariat )"
1.9230329,-6.204856,-6.726698,Recherche - développement ( Recherche - développement )
-11.669089,-6.9689975,-0.25345078,Traitement des opérations administratives et financières
6.6643972,9.5956,-15.5884495,Télévision
21.65047,-2.2492754,4.4374676,"Verre technique (optique, écrans de télévision, ampoules, vitrocéramique, ...)"
-14.149848,2.8234541,7.701204,Administration pénitentiaire
-9.552164,18.376112,4.630546,Hydrothérapie
-20.933151,13.056132,9.285157,Médecine dentaire ( Santé - médecine - pharmacie )
0.29229397,-15.534194,2.2819936,"Construction, Bâtiment et Travaux publics - Second oeuvre"
11.308857,-19.257391,-6.042624,Montage - câblage ( Electricité - électronique - génie mécanique )
3.3497133,-3.8446555,-8.240589,Traduction - interprétariat ( Langues )
-4.3552837,14.356106,-7.121539,"Produits culturels (disques, DVD, ...)"
1.9618095,-6.438063,-3.6967616,Scientifique
11.439993,-0.12526633,1.3277028,"Papiers industriels et spéciaux (fiduciaire, papier filtre, papier abrasif, ...)"
1.5078814,-29.007824,0.79662997,"Levage, manutention"
26.600819,2.3621957,0.26003423,"Arts et Façonnage d'ouvrages d'art - Métal, verre, bijouterie et horlogerie"
5.575513,-5.7859306,19.210623,Génie militaire
-21.886503,1.7084545,-0.054723237,Emploi
-4.6794634,10.773274,-7.811454,Direction musicale ( Spectacle et audiovisuel )
26.193407,5.1352024,0.43854785,Arts et Façonnage d'ouvrages d'art - Tissu et cuirs
-0.2692637,13.728974,12.606181,Nettoyage - entretien d'espaces urbains ( Nettoyage - entretien )
14.333245,0.6210354,6.790777,Jouets
11.739181,-22.258327,-2.0847955,"Installation et Maintenance - Véhicules, engins, aéronefs"
-1.5238236,0.51377445,-2.7535112,Support à l'entreprise - Secrétariat et assistance
-15.36654,-5.2439933,0.1365911,Réalisation d'un audit ou d'un contrôle de gestion ( Comptabilité - contrôle de gestion - audit )
-9.274657,8.3049,25.084963,"Sciences physiques, biologie et chimie ( Sciences )"
15.459176,-10.498571,0.41361073,"Béton (armé, manufacturé, pré-contraint)"
-17.374027,-20.910347,-1.861701,Commissionnaire en douane
2.9123356,-0.801218,9.602518,Industrie
1.803052,-12.848624,-12.689404,Bureautique
2.51812,6.263689,-7.7829194,Vente par correspondance
-1.5019847,-15.854274,2.0690324,Bâtiment gros oeuvre
26.676823,-8.924415,-7.385199,Broderie
19.692213,-0.52906847,2.0499084,Industrie céramique
-20.392527,-19.660059,-2.07343,Organisation du fret  ( Transport )
8.468121,-4.349316,-17.089832,Conception et réalisation architecturales ( BTP - construction - aménagement )
2.7829213,2.058284,5.5989246,Evaluation des performances et/ou des résultats
1.1025162,11.038901,13.291086,Nettoyage - entretien de locaux ( Nettoyage - entretien )
-2.2703602,15.06595,-13.717016,Sport
-1.8701606,-8.2916765,-13.256188,Informatique et télécommunications
-9.576354,3.1523113,-8.694914,Services après-vente et suivi des clients ( Achat - vente )
-4.6101413,-10.182114,3.9071834,Mise en place de la sécurité ( Protection - surveillance - sécurité )
5.628401,-26.399921,0.06947156,Conduite sur rails ( Transport )
5.17591,3.8277876,-0.24811535,Machinisme
-10.071428,8.912883,27.06171,Chimie minérale
10.736732,-22.506786,-4.6344466,Contrôle technique véhicules ( Maintenance - entretien technique )
-10.775126,-1.3954349,13.547847,Interventions de sécurité et de secours ( Protection - surveillance - sécurité )
18.413664,-6.3686805,-12.819161,Edition textile
-16.362364,-9.933055,8.681424,Traitement et recyclage ( Environnement )
2.9820623,17.61586,-4.1648827,Puériculture - petite enfance ( Santé - médecine - pharmacie )
11.298628,14.437541,-5.171672,Parfumerie ( Métiers d'art )
3.9721885,-17.714466,18.008684,Maintenance d'équipements domestiques ( Maintenance - entretien technique )
-7.0517664,13.747382,-9.073275,"Hôtellerie-Restauration, Tourisme, Loisirs et Animation - Production culinaire"
-6.7409396,-9.294068,-12.315075,Téléphonie
4.1928034,1.697404,4.95684,Industrie - Qualité et analyses industrielles
-8.289428,0.25850347,12.893246,Sécurité publique ( Protection - surveillance - sécurité )
-4.6488724,27.78343,-2.3077786,Protection - surveillance ( Protection - surveillance - sécurité )
3.2388887,-13.191958,1.1487564,Bâtiment tertiaire
2.6004417,2.9101498,-7.0803986,Location - vente immobilère ( Immobilier )
2.9217355,-4.829567,-7.6150527,Recherche et veille documentaire ( Information - documentation - communication )
1.6999079,-6.533081,-5.056974,"Industrie - Conception, recherche, études et développement"
5.740746,4.9264855,-23.942543,Imprimerie
18.656559,5.682346,8.115712,Gravure industrielle
-0.8839951,15.210042,12.179822,Entretien et aménagement des espaces naturels ( Environnement )
7.9975953,-6.789989,18.044422,Electricité - électronique - génie mécanique
20.595934,3.628247,-12.642829,Chapellerie ( Métiers d'art )
5.5482597,-6.0528345,10.22606,Distribution d'électricité
6.647535,-10.432466,-3.9306214,Calculs
16.389063,-8.018586,17.075249,Horlogerie
17.292576,5.9324536,8.571792,Production industrielle
-15.687786,16.665377,-5.143831,Enseignement privé hors contrat
-14.228368,-17.532358,3.3379304,Permis - titres - certifications - habilitations de transport ( Transport )
-10.6774235,-2.5415387,-1.6212362,Support à l'entreprise - Comptabilité et gestion
0.970262,-7.5318866,15.202478,Armement
19.776129,0.41061622,8.360609,Transformation industrielle du bois ( Fabrication et transformation d'éléments )
26.913153,5.4246387,-2.082285,Arts et Façonnage d'ouvrages d'art
6.0089083,10.088005,-1.8027577,"Boulangerie, pâtisserie industrielle"
2.3680925,9.279895,11.674497,Techniques et matériel de nettoyage ( Nettoyage - entretien )
0.8372931,9.951099,15.259205,Nettoyage - entretien des textiles et du linge ( Nettoyage - entretien )
